STATISTIC,Statistic Label,TLIST(Q1),Quarter,C02479V04377,Garda Region,C02480V03003,Type of Offence,UNIT,VALUE
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,822,Theft from shop (0822),Number,1872
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,84,"Other thefts, handling stolen property (084)",Number,4376
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,9,"Fraud, deception and related offences (09)",Number,387
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,10,Controlled drug offences (10),Number,629
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,1011,Importation of drugs (1011),Number,4
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,1012,Cultivation or manufacture of drugs (1012),Number,0
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,1021,Possession of drugs for sale or supply (1021),Number,270
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,1022,Possession of drugs for personal use (1022),Number,323
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,103,Other drug offences (103),Number,32
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,11,Weapons and explosives offences (11),Number,240
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,111,"Explosives, chemical weapons offences (111)",Number,1
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,1121,Discharging a firearm (1121),Number,25
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,1122,Possession of a firearm (1122),Number,45
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,113,Offensive weapons offences (n.e.c.) (113),Number,169
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,114,Fireworks offences (114),Number,0
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,12,Damage to property and to the environment  offences (12),Number,3738
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,1211,Arson (1211),Number,115
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,1212,Criminal damage (not arson) (1212),Number,3618
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,1221,Litter offences (1221),Number,5
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,13,Public order and other social code offences (13),Number,3300
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,131,Disorderly conduct (131),Number,2852
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,132,Trespass offences (132),Number,211
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,133,Liquor licensing offences (133),Number,28
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,134,Prostitution offences (134),Number,39
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,135,"Regulated betting/money, collection/trading offences (135)",Number,25
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,136,Social code offences (n.e.c.) (136),Number,145
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,15,"Offences against government, justice procedures and organisation of crime (15)",Number,1009
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,151,Offences against government and its agents (151),Number,17
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,152,Organisation of crime and conspiracy to commit crime (152),Number,3
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,153,Perverting the course of justice (153),Number,17
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,157,"Offences while in custody, breach of court orders (157)",Number,972
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,1,Homicide & related offences (01),Number,5
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,111,Murder (0111),Number,1
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,112,Manslaughter (0112),Number,2
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,113,Infanticide (0113),Number,0
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,12,Dangerous driving leading to death (012),Number,2
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,2,Sexual offences (02),Number,136
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,21,Rape and sexual assault (021),Number,131
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,22,Other sexual offences (022),Number,5
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,3,"Attempts/threats to murder, assaults, harassments and related offences (03)",Number,888
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,311,Murder-attempt (0311),Number,0
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,313,Threat to kill or cause serious harm  (0313 ),Number,1
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,33,Harassment and related offences (033),Number,101
CJQ05,Recorded crime incidents,20031,2003Q1,20,20 North Western Region,34,"Assault causing harm, poisoning (034)",Number,238
