STATISTIC,Statistic Label,TLIST(Q1),Quarter,C02479V04377,Garda Region,C02480V03003,Type of Offence,UNIT,VALUE
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,611,Robbery of an establishment or institution (0611),Number,31
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,612,Robbery of cash or goods in transit (0612),Number,0
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,613,Robbery from the person (0613),Number,47
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,621,Blackmail or extortion (0621),Number,0
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,631,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",Number,2
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,7,Burglary and related offences (07),Number,1143
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,711,Aggravated burglary (0711),Number,11
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,712,Burglary (not aggravated) (0712),Number,1130
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,713,"Possession of an article (with intent to burgle, steal, demand) (0713)",Number,2
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,8,Theft and related offences (08),Number,3309
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,81,Theft/taking of vehicle and related offences (081),Number,529
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,821,Theft from person (0821),Number,253
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,822,Theft from shop (0822),Number,836
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,84,"Other thefts, handling stolen property (084)",Number,1691
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,9,"Fraud, deception and related offences (09)",Number,118
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,10,Controlled drug offences (10),Number,710
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,1011,Importation of drugs (1011),Number,0
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,1012,Cultivation or manufacture of drugs (1012),Number,10
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,1021,Possession of drugs for sale or supply (1021),Number,114
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,1022,Possession of drugs for personal use (1022),Number,573
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,103,Other drug offences (103),Number,13
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,11,Weapons and explosives offences (11),Number,128
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,111,"Explosives, chemical weapons offences (111)",Number,2
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,1121,Discharging a firearm (1121),Number,15
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,1122,Possession of a firearm (1122),Number,19
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,113,Offensive weapons offences (n.e.c.) (113),Number,92
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,114,Fireworks offences (114),Number,0
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,12,Damage to property and to the environment  offences (12),Number,1970
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,1211,Arson (1211),Number,82
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,1212,Criminal damage (not arson) (1212),Number,1884
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,1221,Litter offences (1221),Number,4
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,13,Public order and other social code offences (13),Number,3059
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,131,Disorderly conduct (131),Number,2491
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,132,Trespass offences (132),Number,58
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,133,Liquor licensing offences (133),Number,483
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,134,Prostitution offences (134),Number,0
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,135,"Regulated betting/money, collection/trading offences (135)",Number,16
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,136,Social code offences (n.e.c.) (136),Number,11
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,15,"Offences against government, justice procedures and organisation of crime (15)",Number,228
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,151,Offences against government and its agents (151),Number,8
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,152,Organisation of crime and conspiracy to commit crime (152),Number,0
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,153,Perverting the course of justice (153),Number,12
CJQ05,Recorded crime incidents,20043,2004Q3,40,40 Southern Region,157,"Offences while in custody, breach of court orders (157)",Number,208
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,1,Homicide & related offences (01),Number,9
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,111,Murder (0111),Number,3
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,112,Manslaughter (0112),Number,4
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,113,Infanticide (0113),Number,0
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,12,Dangerous driving leading to death (012),Number,2
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,2,Sexual offences (02),Number,74
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,21,Rape and sexual assault (021),Number,69
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,22,Other sexual offences (022),Number,5
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,3,"Attempts/threats to murder, assaults, harassments and related offences (03)",Number,953
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,311,Murder-attempt (0311),Number,0
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,313,Threat to kill or cause serious harm  (0313 ),Number,3
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,33,Harassment and related offences (033),Number,55
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,34,"Assault causing harm, poisoning (034)",Number,345
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,35,Other assault (035),Number,550
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,4,Dangerous or negligent acts (04),Number,900
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,411,Dangerous driving causing serious bodily harm (0411),Number,3
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,0412_13,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",Number,855
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,412,Driving/in charge of a vehicle while over legal alcohol limit (0412),Number,851
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,413,Driving/in charge of a vehicle under the influence of drugs (0413),Number,4
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,421,Endangerment with potential for serious harm/death (0421),Number,7
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,422,"Abandoning a child, child neglect and cruelty (0422)",Number,18
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,423,Unseaworthy/dangerous use of boat or ship (0423),Number,0
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,424,False alarm/interference with aircraft or air transport facilities (0424),Number,3
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,425,Endangering traffic offences (0425),Number,14
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,5,Kidnapping and related offences (05),Number,3
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,511,False imprisonment (0511),Number,2
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,512,Abduction of person under 16 years of age (0512),Number,1
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,513,Human trafficking offences (0513),Number,0
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,6,"Robbery, extortion and hijacking offences (06)",Number,418
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,611,Robbery of an establishment or institution (0611),Number,203
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,612,Robbery of cash or goods in transit (0612),Number,9
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,613,Robbery from the person (0613),Number,189
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,621,Blackmail or extortion (0621),Number,3
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,631,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",Number,14
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,7,Burglary and related offences (07),Number,2877
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,711,Aggravated burglary (0711),Number,37
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,712,Burglary (not aggravated) (0712),Number,2801
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,713,"Possession of an article (with intent to burgle, steal, demand) (0713)",Number,39
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,8,Theft and related offences (08),Number,8572
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,81,Theft/taking of vehicle and related offences (081),Number,1812
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,821,Theft from person (0821),Number,787
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,822,Theft from shop (0822),Number,1720
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,84,"Other thefts, handling stolen property (084)",Number,4253
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,9,"Fraud, deception and related offences (09)",Number,265
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,10,Controlled drug offences (10),Number,760
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,1011,Importation of drugs (1011),Number,6
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,1012,Cultivation or manufacture of drugs (1012),Number,2
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,1021,Possession of drugs for sale or supply (1021),Number,305
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,1022,Possession of drugs for personal use (1022),Number,389
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,103,Other drug offences (103),Number,58
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,11,Weapons and explosives offences (11),Number,241
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,111,"Explosives, chemical weapons offences (111)",Number,4
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,1121,Discharging a firearm (1121),Number,39
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,1122,Possession of a firearm (1122),Number,21
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,113,Offensive weapons offences (n.e.c.) (113),Number,176
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,114,Fireworks offences (114),Number,1
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,12,Damage to property and to the environment  offences (12),Number,3955
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,1211,Arson (1211),Number,145
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,1212,Criminal damage (not arson) (1212),Number,3807
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,1221,Litter offences (1221),Number,3
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,13,Public order and other social code offences (13),Number,4733
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,131,Disorderly conduct (131),Number,3625
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,132,Trespass offences (132),Number,221
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,133,Liquor licensing offences (133),Number,608
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,134,Prostitution offences (134),Number,25
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,135,"Regulated betting/money, collection/trading offences (135)",Number,77
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,136,Social code offences (n.e.c.) (136),Number,177
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,15,"Offences against government, justice procedures and organisation of crime (15)",Number,909
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,151,Offences against government and its agents (151),Number,26
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,152,Organisation of crime and conspiracy to commit crime (152),Number,1
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,153,Perverting the course of justice (153),Number,16
CJQ05,Recorded crime incidents,20044,2004Q4,10,10 Dublin Metropolitan Region,157,"Offences while in custody, breach of court orders (157)",Number,866
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,1,Homicide & related offences (01),Number,7
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,111,Murder (0111),Number,1
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,112,Manslaughter (0112),Number,1
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,113,Infanticide (0113),Number,0
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,12,Dangerous driving leading to death (012),Number,5
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,2,Sexual offences (02),Number,65
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,21,Rape and sexual assault (021),Number,65
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,22,Other sexual offences (022),Number,0
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,3,"Attempts/threats to murder, assaults, harassments and related offences (03)",Number,761
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,311,Murder-attempt (0311),Number,0
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,313,Threat to kill or cause serious harm  (0313 ),Number,0
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,33,Harassment and related offences (033),Number,65
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,34,"Assault causing harm, poisoning (034)",Number,191
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,35,Other assault (035),Number,505
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,4,Dangerous or negligent acts (04),Number,815
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,411,Dangerous driving causing serious bodily harm (0411),Number,0
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,0412_13,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",Number,799
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,412,Driving/in charge of a vehicle while over legal alcohol limit (0412),Number,797
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,413,Driving/in charge of a vehicle under the influence of drugs (0413),Number,2
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,421,Endangerment with potential for serious harm/death (0421),Number,0
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,422,"Abandoning a child, child neglect and cruelty (0422)",Number,8
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,423,Unseaworthy/dangerous use of boat or ship (0423),Number,0
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,424,False alarm/interference with aircraft or air transport facilities (0424),Number,0
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,425,Endangering traffic offences (0425),Number,8
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,5,Kidnapping and related offences (05),Number,4
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,511,False imprisonment (0511),Number,4
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,512,Abduction of person under 16 years of age (0512),Number,0
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,513,Human trafficking offences (0513),Number,0
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,6,"Robbery, extortion and hijacking offences (06)",Number,50
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,611,Robbery of an establishment or institution (0611),Number,20
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,612,Robbery of cash or goods in transit (0612),Number,1
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,613,Robbery from the person (0613),Number,26
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,621,Blackmail or extortion (0621),Number,1
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,631,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",Number,2
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,7,Burglary and related offences (07),Number,862
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,711,Aggravated burglary (0711),Number,9
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,712,Burglary (not aggravated) (0712),Number,851
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,713,"Possession of an article (with intent to burgle, steal, demand) (0713)",Number,2
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,8,Theft and related offences (08),Number,2315
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,81,Theft/taking of vehicle and related offences (081),Number,439
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,821,Theft from person (0821),Number,104
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,822,Theft from shop (0822),Number,502
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,84,"Other thefts, handling stolen property (084)",Number,1270
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,9,"Fraud, deception and related offences (09)",Number,146
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,10,Controlled drug offences (10),Number,302
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,1011,Importation of drugs (1011),Number,2
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,1012,Cultivation or manufacture of drugs (1012),Number,0
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,1021,Possession of drugs for sale or supply (1021),Number,61
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,1022,Possession of drugs for personal use (1022),Number,231
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,103,Other drug offences (103),Number,8
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,11,Weapons and explosives offences (11),Number,65
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,111,"Explosives, chemical weapons offences (111)",Number,16
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,1121,Discharging a firearm (1121),Number,7
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,1122,Possession of a firearm (1122),Number,13
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,113,Offensive weapons offences (n.e.c.) (113),Number,29
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,114,Fireworks offences (114),Number,0
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,12,Damage to property and to the environment  offences (12),Number,1645
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,1211,Arson (1211),Number,76
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,1212,Criminal damage (not arson) (1212),Number,1561
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,1221,Litter offences (1221),Number,8
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,13,Public order and other social code offences (13),Number,3140
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,131,Disorderly conduct (131),Number,2208
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,132,Trespass offences (132),Number,29
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,133,Liquor licensing offences (133),Number,870
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,134,Prostitution offences (134),Number,0
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,135,"Regulated betting/money, collection/trading offences (135)",Number,10
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,136,Social code offences (n.e.c.) (136),Number,23
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,15,"Offences against government, justice procedures and organisation of crime (15)",Number,195
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,151,Offences against government and its agents (151),Number,11
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,152,Organisation of crime and conspiracy to commit crime (152),Number,0
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,153,Perverting the course of justice (153),Number,7
CJQ05,Recorded crime incidents,20044,2004Q4,20,20 North Western Region,157,"Offences while in custody, breach of court orders (157)",Number,177
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,1,Homicide & related offences (01),Number,7
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,111,Murder (0111),Number,1
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,112,Manslaughter (0112),Number,0
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,113,Infanticide (0113),Number,0
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,12,Dangerous driving leading to death (012),Number,6
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,2,Sexual offences (02),Number,71
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,21,Rape and sexual assault (021),Number,69
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,22,Other sexual offences (022),Number,2
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,3,"Attempts/threats to murder, assaults, harassments and related offences (03)",Number,648
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,311,Murder-attempt (0311),Number,0
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,313,Threat to kill or cause serious harm  (0313 ),Number,0
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,33,Harassment and related offences (033),Number,42
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,34,"Assault causing harm, poisoning (034)",Number,163
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,35,Other assault (035),Number,443
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,4,Dangerous or negligent acts (04),Number,980
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,411,Dangerous driving causing serious bodily harm (0411),Number,3
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,0412_13,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",Number,959
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,412,Driving/in charge of a vehicle while over legal alcohol limit (0412),Number,952
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,413,Driving/in charge of a vehicle under the influence of drugs (0413),Number,7
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,421,Endangerment with potential for serious harm/death (0421),Number,2
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,422,"Abandoning a child, child neglect and cruelty (0422)",Number,9
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,423,Unseaworthy/dangerous use of boat or ship (0423),Number,0
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,424,False alarm/interference with aircraft or air transport facilities (0424),Number,0
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,425,Endangering traffic offences (0425),Number,7
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,5,Kidnapping and related offences (05),Number,3
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,511,False imprisonment (0511),Number,3
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,512,Abduction of person under 16 years of age (0512),Number,0
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,513,Human trafficking offences (0513),Number,0
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,6,"Robbery, extortion and hijacking offences (06)",Number,98
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,611,Robbery of an establishment or institution (0611),Number,56
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,612,Robbery of cash or goods in transit (0612),Number,5
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,613,Robbery from the person (0613),Number,36
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,621,Blackmail or extortion (0621),Number,0
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,631,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",Number,1
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,7,Burglary and related offences (07),Number,1584
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,711,Aggravated burglary (0711),Number,14
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,712,Burglary (not aggravated) (0712),Number,1567
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,713,"Possession of an article (with intent to burgle, steal, demand) (0713)",Number,3
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,8,Theft and related offences (08),Number,2887
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,81,Theft/taking of vehicle and related offences (081),Number,443
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,821,Theft from person (0821),Number,154
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,822,Theft from shop (0822),Number,794
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,84,"Other thefts, handling stolen property (084)",Number,1496
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,9,"Fraud, deception and related offences (09)",Number,147
CJQ05,Recorded crime incidents,20044,2004Q4,30,30 Eastern Region,10,Controlled drug offences (10),Number,532
